store,category,name,brand,price,promo_price,unit_price,unit,url,scraped_at
Delhaize,Sport en gezondheid,Isostar ISO | PoeDER WHEY PROTEIN VANILLE,Isostar,26.15,,"45,88 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/ISO-PoeDER-WHEY-PROTEIN-VANILLE/p/S2024060800773110000,2026-05-10T15:05:35.224810
Delhaize,Sport en gezondheid,Isostar ISO PoeDER| HIGH PROTEIN | CHOCOLATE,Isostar,19.85,,"49,63 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/ISO-PoeDER-HIGH-PROTEIN-CHOCOLATE/p/S2024060800773070000,2026-05-10T15:05:35.788787
Delhaize,Sport en gezondheid,Isostar ISO | PoeDER WHEY PROTEIN CHOCOLATE,Isostar,26.15,,"45,88 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/ISO-PoeDER-WHEY-PROTEIN-CHOCOLATE/p/S2024060800773100000,2026-05-10T15:05:36.348323
Delhaize,Sport en gezondheid,NXT Level Sports Nutrition Eiwitrepen | Karamel & Cookie,NXT Level Sports Nutrition,2.49,,"45,27 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Eiwitrepen-Karamel-and-Cookie/p/S2025051600863760000,2026-05-10T15:05:36.908392
Delhaize,Sport en gezondheid,NXT Level Sports Nutrition Proteinen | Poeder | Whey | Chocolade,NXT Level Sports Nutrition,19.99,,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Poeder-Whey-Chocolade/p/S2025051900102900000,2026-05-10T15:05:37.485239
Delhaize,Sport en gezondheid,Purasana Acaibes poeder | Bio,Purasana,12.69,,"253,80 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Acaibes-poeder-Bio/p/S2025043000857780000,2026-05-10T15:05:38.048912
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Creatine | Sinaasappel,XXL Nutrition,9.99,2de tegen -50%,"39,96 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Creatine/Proteinen-Creatine-Sinaasappel/p/S2025073000883230000,2026-05-10T15:05:38.117858
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Vanille,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Vanille/p/S2025073000883350000,2026-05-10T15:05:38.177020
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Gezouten Karamel,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Gezouten-Karamel/p/S2025073000883310000,2026-05-10T15:05:38.245001
Delhaize,Sport en gezondheid,XXL Nutrition Proteinen | Whey | Perzik-Mango,XXL Nutrition,17.99,2de tegen -50%,"39,98 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinen-Whey-Perzik-Mango/p/S2025073000883650000,2026-05-10T15:05:38.310947
